Record Length,2500,Points,-499.999965541E-6,-1.5999999,
Sample Interval,400.00000467E-9,s,-499.599962495E-6,-1.5200000,
Trigger Point,1.2500000E3,Samples,-499.199959449E-6,-1.6799999,
,,,-498.799956404E-6,-1.5200000,
,,,-498.399953358E-6,-1.5200000,
,,,-497.999950312E-6,-1.5999999,
Source,CH1,,-497.599947266E-6,-1.5200000,
Vertical Units,Volts,,-497.199944220E-6,-1.5999999,
Vertical Scale,2.0000000,,-496.799941175E-6,-1.5200000,
Vertical Offset,0,,-496.399938129E-6,-1.5999999,
Horizontal Units,s,,-495.999993291E-6,-1.5200000,
Horizontal Scale,100.0000012E-6,,-495.599990245E-6,-1.5200000,
Pt Fmt,Y,,-495.199987199E-6,-1.5999999,
Yzero,-640.000000000E-3,,-494.799984153E-6,-1.5200000,
Probe Atten,1.000000,,-494.399981108E-6,-1.5200000,
,,,-493.999978062E-6,-1.5200000,
Note,TDS 2012C - 11:32:55 a. m.   29/07/2026,,-493.599975016E-6,-1.5200000,
,,,-493.199971970E-6,-1.5200000,
,,,-492.799968924E-6,-1.5999999,
,,,-492.399965879E-6,-1.5999999,
,,,-491.999962833E-6,-1.5200000,
,,,-491.599959787E-6,-1.5200000,
,,,-491.199956741E-6,-1.4399999,
,,,-490.799953695E-6,-1.5999999,
,,,-490.399950650E-6,-1.5200000,
,,,-489.999947604E-6,-1.5200000,
,,,-489.599944558E-6,-1.5999999,
,,,-489.199941512E-6,-1.5999999,
,,,-488.799938466E-6,-1.5200000,
,,,-488.399993628E-6,-1.5999999,
,,,-487.999961479E-6,-1.5999999,
,,,-487.599958433E-6,-1.5999999,
,,,-487.199955387E-6,-1.5999999,
,,,-486.799952341E-6,-1.5999999,
,,,-486.399978399E-6,-1.5999999,
,,,-485.999975353E-6,-1.5200000,
,,,-485.599972308E-6,-1.5999999,
,,,-485.199969262E-6,-1.5200000,
,,,-484.799966216E-6,-1.4399999,
,,,-484.399963170E-6,-1.5200000,
,,,-483.999960124E-6,-1.4399999,
,,,-483.599957079E-6,-1.5999999,
,,,-483.199954033E-6,-1.5999999,
,,,-482.799950987E-6,-1.5999999,
,,,-482.399977045E-6,-1.5999999,
,,,-481.999973999E-6,-1.5999999,
,,,-481.599970954E-6,-1.5200000,
,,,-481.199967908E-6,-1.5999999,
,,,-480.799964862E-6,-1.5999999,
,,,-480.399961816E-6,-1.5999999,
,,,-479.999958770E-6,-1.5200000,
,,,-479.599955725E-6,-1.5999999,
,,,-479.199952679E-6,-1.5200000,
,,,-478.799978737E-6,-1.5999999,
,,,-478.399975691E-6,-1.5999999,
,,,-477.999972645E-6,-1.4399999,
,,,-477.599969599E-6,-1.5200000,
,,,-477.199966554E-6,-1.5200000,
,,,-476.799963508E-6,-1.4399999,
,,,-476.399960462E-6,-1.4399999,
,,,-475.999957416E-6,-1.5200000,
,,,-475.599954370E-6,-1.5200000,
,,,-475.199951325E-6,-1.5999999,
,,,-474.799977383E-6,-1.5999999,
,,,-474.399974337E-6,-1.5999999,
,,,-473.999971291E-6,-1.5200000,
,,,-473.599968245E-6,-1.5999999,
,,,-473.199965199E-6,-1.5999999,
,,,-472.799962154E-6,-1.5999999,
,,,-472.399959108E-6,-1.5999999,
,,,-471.999956062E-6,-1.5999999,
,,,-471.599953016E-6,-1.5200000,
,,,-471.199979074E-6,-1.4399999,
,,,-470.799976029E-6,-1.4399999,
,,,-470.399972983E-6,-1.5200000,
,,,-469.999969937E-6,-1.5999999,
